Gender,Event,Location,Year,Medal,Name,Nationality,Time,Medal_S,Name_S,Nationality_S,Result_S,Medal_B,Name_B,Nationality_B,Result_B,Distance
M,200M Men,Rio,2016,G,Usain BOLT,JAM,0,S,Andre DE GRASSE,CAN,20.02,B,Christophe LEMAITRE,FRA,20.12,0
M,200M Men,Beijing,2008,G,Usain BOLT,JAM,0,S,Shawn CRAWFORD,USA,19.96,B,Walter DIX,USA,19.98,0
M,200M Men,Sydney,2000,G,Kostas KENTERIS,GRE,0,S,Darren CAMPBELL,GBR,20.14,B,Ato BOLDON,TTO,20.2,0
M,200M Men,Barcelona,1992,G,Michael MARSH,USA,0,S,Frank FREDERICKS,NAM,20.13,B,Michael BATES,USA,20.38,0
M,200M Men,Seoul,1988,G,Joe DELOACH,USA,0,S,Carl LEWIS,USA,19.79,B,Robson DA SILVA,USA,20.04,0
M,200M Men,Los Angeles,1984,G,Carl LEWIS,USA,0,S,Kirk BAPTISTE,USA,19.96,B,Thomas JEFFERSON,USA,20.26,0
M,200M Men,Montreal,1976,G,Donald QUARRIE,JAM,0,S,Millard Frank Jr. HAMPTON,USA,20.29,B,Dwayne Eugene EVANS,USA,20.43,0
M,200M Men,Mexico,1968,G,Tommie SMITH,USA,0,S,Peter NORMAN,AUS,20.0,B,John CARLOS,USA,20.0,0
M,200M Men,Rome,1960,G,Livio BERRUTI,ITA,0,S,Lester Nelson CARNEY,USA,20.6,B,Abdoulaye SEYE,FRA,20.7,0
M,200M Men,Helsinki,1952,G,Andy STANFIELD,USA,0,S,Thane BAKER,USA,20.8,B,James GATHERS,USA,20.8,0
M,200M Men,Berlin,1936,G,Jesse OWENS,USA,0,S,Matthew Mackenzie ROBINSON,USA,21.1,B,Martinus OSENDARP,NED,21.3,0
M,200M Men,Amsterdam,1928,G,Percy WILLIAMS,CAN,0,S,Walter RANGELEY,GBR,21.9,B,Helmut KORNIG,GER,21.9,0
M,200M Men,Antwerp,1920,G,Allen WOODRING,USA,0,S,Charles PADDOCK,USA,22.1,B,Harry EDWARD,GBR,22.2,0
M,200M Men,London,1908,G,Robert KERR,CAN,0,S,Robert CLOUGHEN,USA,None,B,Nate CARTMELL,USA,None,0
M,200M Men,Paris,1900,G,Walter TEWKSBURY,USA,0,S,Norman PRITCHARD,IND,22.8,B,Stanley ROWLEY,AUS,22.9,0
M,200M Men,London,2012,G,Usain BOLT,JAM,0,S,Yohan BLAKE,JAM,19.44,B,Warren WEIR,JAM,19.84,0
M,200M Men,Athens,2004,G,Shawn CRAWFORD,USA,0,S,Bernard WILLIAMS III,USA,20.01,B,Justin GATLIN,USA,20.03,0
M,200M Men,Atlanta,1996,G,Michael JOHNSON,USA,0,S,Frank FREDERICKS,NAM,19.68,B,Ato BOLDON,TTO,19.8,0
M,200M Men,Moscow,1980,G,Pietro MENNEA,ITA,0,S,Allan WELLS,GBR,20.21,B,Donald QUARRIE,JAM,20.29,0
M,200M Men,Munich,1972,G,Valery BORZOV,URS,0,S,Larry BLACK,USA,20.19,B,Pietro MENNEA,ITA,20.3,0
M,200M Men,Tokyo,1964,G,Henry CARR,USA,0,S,Paul DRAYTON,USA,20.5,B,Edwin ROBERTS,TTO,20.6,0
M,200M Men,Melbourne / Stockholm,1956,G,Bobby MORROW,USA,0,S,Andy STANFIELD,USA,20.7,B,Thane BAKER,USA,20.9,0
M,200M Men,London,1948,G,Mel PATTON,USA,0,S,Barney EWELL,USA,21.1,B,Lloyd LABEACH,PAN,21.2,0
M,200M Men,Los Angeles,1932,G,Eddie TOLAN,USA,0,S,George SIMPSON,USA,21.4,B,Ralph METCALFE,USA,21.5,0
M,200M Men,Paris,1924,G,Jackson SCHOLZ,USA,0,S,Charles PADDOCK,USA,21.7,B,Eric LIDDELL,GBR,21.9,0
M,200M Men,Stockholm,1912,G,Ralph CRAIG,USA,0,S,Donald LIPPINCOTT,USA,21.8,B,William APPLEGARTH,GBR,22.0,0
M,200M Men,St Louis,1904,G,Archie HAHN,USA,0,S,Nate CARTMELL,USA,21.9,B,William HOGENSON,USA,None,0
M,200M Men,Rio,2016,G,Usain BOLT,JAM,19.78,S,Andre DE GRASSE,CAN,20.02,B,Christophe LEMAITRE,FRA,20.12,200
M,200M Men,Beijing,2008,G,Usain BOLT,JAM,19.30,S,Shawn CRAWFORD,USA,19.96,B,Walter DIX,USA,19.98,200
M,200M Men,Sydney,2000,G,Kostas KENTERIS,GRE,20.09,S,Darren CAMPBELL,GBR,20.14,B,Ato BOLDON,TTO,20.2,200
M,200M Men,Barcelona,1992,G,Michael MARSH,USA,20.01,S,Frank FREDERICKS,NAM,20.13,B,Michael BATES,USA,20.38,200
M,200M Men,Seoul,1988,G,Joe DELOACH,USA,19.75,S,Carl LEWIS,USA,19.79,B,Robson DA SILVA,USA,20.04,200
M,200M Men,Los Angeles,1984,G,Carl LEWIS,USA,19.8,S,Kirk BAPTISTE,USA,19.96,B,Thomas JEFFERSON,USA,20.26,200
M,200M Men,Montreal,1976,G,Donald QUARRIE,JAM,20.23,S,Millard Frank Jr. HAMPTON,USA,20.29,B,Dwayne Eugene EVANS,USA,20.43,200
M,200M Men,Mexico,1968,G,Tommie SMITH,USA,19.8,S,Peter NORMAN,AUS,20.0,B,John CARLOS,USA,20.0,200
M,200M Men,Rome,1960,G,Livio BERRUTI,ITA,20.5,S,Lester Nelson CARNEY,USA,20.6,B,Abdoulaye SEYE,FRA,20.7,200
M,200M Men,Helsinki,1952,G,Andy STANFIELD,USA,20.7,S,Thane BAKER,USA,20.8,B,James GATHERS,USA,20.8,200
M,200M Men,Berlin,1936,G,Jesse OWENS,USA,20.7,S,Matthew Mackenzie ROBINSON,USA,21.1,B,Martinus OSENDARP,NED,21.3,200
M,200M Men,Amsterdam,1928,G,Percy WILLIAMS,CAN,21.8,S,Walter RANGELEY,GBR,21.9,B,Helmut KORNIG,GER,21.9,200
M,200M Men,Antwerp,1920,G,Allen WOODRING,USA,22.0,S,Charles PADDOCK,USA,22.1,B,Harry EDWARD,GBR,22.2,200
M,200M Men,London,1908,G,Robert KERR,CAN,22.6,S,Robert CLOUGHEN,USA,None,B,Nate CARTMELL,USA,None,200
M,200M Men,Paris,1900,G,Walter TEWKSBURY,USA,22.2,S,Norman PRITCHARD,IND,22.8,B,Stanley ROWLEY,AUS,22.9,200
M,200M Men,London,2012,G,Usain BOLT,JAM,19.32,S,Yohan BLAKE,JAM,19.44,B,Warren WEIR,JAM,19.84,200
M,200M Men,Athens,2004,G,Shawn CRAWFORD,USA,19.79,S,Bernard WILLIAMS III,USA,20.01,B,Justin GATLIN,USA,20.03,200
M,200M Men,Atlanta,1996,G,Michael JOHNSON,USA,19.32,S,Frank FREDERICKS,NAM,19.68,B,Ato BOLDON,TTO,19.8,200
M,200M Men,Moscow,1980,G,Pietro MENNEA,ITA,20.19,S,Allan WELLS,GBR,20.21,B,Donald QUARRIE,JAM,20.29,200
M,200M Men,Munich,1972,G,Valery BORZOV,URS,20.0,S,Larry BLACK,USA,20.19,B,Pietro MENNEA,ITA,20.3,200
M,200M Men,Tokyo,1964,G,Henry CARR,USA,20.3,S,Paul DRAYTON,USA,20.5,B,Edwin ROBERTS,TTO,20.6,200
M,200M Men,Melbourne / Stockholm,1956,G,Bobby MORROW,USA,20.6,S,Andy STANFIELD,USA,20.7,B,Thane BAKER,USA,20.9,200
M,200M Men,London,1948,G,Mel PATTON,USA,21.1,S,Barney EWELL,USA,21.1,B,Lloyd LABEACH,PAN,21.2,200
M,200M Men,Los Angeles,1932,G,Eddie TOLAN,USA,21.2,S,George SIMPSON,USA,21.4,B,Ralph METCALFE,USA,21.5,200
M,200M Men,Paris,1924,G,Jackson SCHOLZ,USA,21.6,S,Charles PADDOCK,USA,21.7,B,Eric LIDDELL,GBR,21.9,200
M,200M Men,Stockholm,1912,G,Ralph CRAIG,USA,21.7,S,Donald LIPPINCOTT,USA,21.8,B,William APPLEGARTH,GBR,22.0,200
M,200M Men,St Louis,1904,G,Archie HAHN,USA,21.6,S,Nate CARTMELL,USA,21.9,B,William HOGENSON,USA,None,200
