Gender,Event,Location,Year,Medal,Name,Nationality,Time,Medal_S,Name_S,Nationality_S,Result_S,Medal_B,Name_B,Nationality_B,Result_B,Distance
W,400M Women,Rio,2016,G,Shaunae MILLER,BAH,0,S,Allyson FELIX,USA,49.51,B,Shericka JACKSON,JAM,49.85,0
W,400M Women,Beijing,2008,G,Christine OHURUOGU,GBR,0,S,Shericka WILLIAMS,JAM,49.69,B,Sanya RICHARDS-ROSS,USA,49.93,0
W,400M Women,Sydney,2000,G,Cathy FREEMAN,AUS,0,S,Lorraine FENTON,JAM,49.58,B,Katharine MERRY,GBR,49.72,0
W,400M Women,Barcelona,1992,G,Marie-Jose PEREC,FRA,0,S,Olga BRYZGINA,EUN,49.05,B,Ximena RESTREPO,COL,49.64,0
W,400M Women,Seoul,1988,G,Olga BRYZGINA,URS,0,S,Petra MULLER,GDR,49.45,B,Olga NAZAROVA,URS,49.90,0
W,400M Women,Los Angeles,1984,G,Valerie BRISCO,USA,0,S,Chandra CHEESEBOROUGH,USA,49.05,B,Kathryn SMALLWOOD-COOK,GBR,49.42,0
W,400M Women,Montreal,1976,G,Irena KIRSZENSTEIN,POL,0,S,Christina BREHMER-LATHAN,GDR,50.51,B,Ellen STROPAHL-STREIDT,GDR,50.55,0
W,400M Women,Mexico,1968,G,Colette BESSON,FRA,0,S,Lillian BOARD,GBR,52.1,B,Natalya CHISTYAKOVA,URS,52.2,0
W,400M Women,London,2012,G,Sanya RICHARDS-ROSS,USA,0,S,Christine OHURUOGU,GBR,49.7,B,DeeDee TROTTER,USA,49.72,0
W,400M Women,Athens,2004,G,Tonique WILLIAMS-DARLING,BAH,0,S,Ana GUEVARA,MEX,49.56,B,Natalya ANTYUKH,RUS,49.89,0
W,400M Women,Atlanta,1996,G,Marie-Jose PEREC,FRA,0,S,Cathy FREEMAN,AUS,48.63,B,Falilat OGUNKOYA,NGR,49.1,0
W,400M Women,Moscow,1980,G,Marita KOCH,GDR,0,S,Jarmila KRATOHVILOVA,TCH,49.46,B,Christina BREHMER-LATHAN,GDR,49.66,0
W,400M Women,Munich,1972,G,Monika ZEHRT,GDR,0,S,Rita JAHN,FRG,51.21,B,Kathleen HAMMOND,USA,51.64,0
W,400M Women,Tokyo,1964,G,Betty CUTHBERT,AUS,0,S,Ann PACKER,GBR,52.2,B,Judith Florence AMOORE-POLLOCK,AUS,53.4,0
W,400M Women,Rio,2016,G,Shaunae MILLER,BAH,49.44,S,Allyson FELIX,USA,49.51,B,Shericka JACKSON,JAM,49.85,400
W,400M Women,Beijing,2008,G,Christine OHURUOGU,GBR,49.62,S,Shericka WILLIAMS,JAM,49.69,B,Sanya RICHARDS-ROSS,USA,49.93,400
W,400M Women,Sydney,2000,G,Cathy FREEMAN,AUS,49.11,S,Lorraine FENTON,JAM,49.58,B,Katharine MERRY,GBR,49.72,400
W,400M Women,Barcelona,1992,G,Marie-Jose PEREC,FRA,48.83,S,Olga BRYZGINA,EUN,49.05,B,Ximena RESTREPO,COL,49.64,400
W,400M Women,Seoul,1988,G,Olga BRYZGINA,URS,48.65,S,Petra MULLER,GDR,49.45,B,Olga NAZAROVA,URS,49.90,400
W,400M Women,Los Angeles,1984,G,Valerie BRISCO,USA,48.83,S,Chandra CHEESEBOROUGH,USA,49.05,B,Kathryn SMALLWOOD-COOK,GBR,49.42,400
W,400M Women,Montreal,1976,G,Irena KIRSZENSTEIN,POL,49.29,S,Christina BREHMER-LATHAN,GDR,50.51,B,Ellen STROPAHL-STREIDT,GDR,50.55,400
W,400M Women,Mexico,1968,G,Colette BESSON,FRA,52.0,S,Lillian BOARD,GBR,52.1,B,Natalya CHISTYAKOVA,URS,52.2,400
W,400M Women,London,2012,G,Sanya RICHARDS-ROSS,USA,49.55,S,Christine OHURUOGU,GBR,49.7,B,DeeDee TROTTER,USA,49.72,400
W,400M Women,Athens,2004,G,Tonique WILLIAMS-DARLING,BAH,49.41,S,Ana GUEVARA,MEX,49.56,B,Natalya ANTYUKH,RUS,49.89,400
W,400M Women,Atlanta,1996,G,Marie-Jose PEREC,FRA,48.25,S,Cathy FREEMAN,AUS,48.63,B,Falilat OGUNKOYA,NGR,49.1,400
W,400M Women,Moscow,1980,G,Marita KOCH,GDR,48.88,S,Jarmila KRATOHVILOVA,TCH,49.46,B,Christina BREHMER-LATHAN,GDR,49.66,400
W,400M Women,Munich,1972,G,Monika ZEHRT,GDR,51.08,S,Rita JAHN,FRG,51.21,B,Kathleen HAMMOND,USA,51.64,400
W,400M Women,Tokyo,1964,G,Betty CUTHBERT,AUS,52.0,S,Ann PACKER,GBR,52.2,B,Judith Florence AMOORE-POLLOCK,AUS,53.4,400
